Name,Image URL,Reviews,Type,Address,Phone Number,Opening Hours,Restaurant Page Link,Delivery Link
פסקרה - PESCRA,https://images.rest.co.il/Customers/80375581/c28066025f814b53b06c71b0c7814e96_56.jpg,1 חוות דעת,מסעדת דגים | כשר,"תוצרת הארץ 3, פתח תקווה | תיפתח היום בשעה 18:00",055-4335683,תיפתח היום בשעה 18:00,https://www.rest.co.il/rest/80375581/,No delivery link
"אסאדו במדבר, ים המלח - ASADO BAMIDBAR",https://images.rest.co.il/Customers/80379031/bd78fa9e12d8427d8e4fcf8a8a66421c_56.png,,מסעדת בשרים | כשר,אבנת | אנחנו פתוחים!,053-5311096,אנחנו פתוחים!,https://www.rest.co.il/rest/80379031/,No delivery link
סלון יווני,https://images.rest.co.il/Customers/80372919/0f8a8fc4179948e199bed97d15350001_56.jpg,,מסעדה יוונית,"אלי לנדאו 60, הרצליה פיתוח | תיפתח היום בשעה 18:00",053-9379721,תיפתח היום בשעה 18:00,https://www.rest.co.il/rest/80372919/,No delivery link
ביגה - BIGA,https://images.rest.co.il/Customers/80375622/4e09c264c0334e00877caf187794bcc8_56.gif,,בתי קפה | כשר | מחיר ₪₪₪₪,אשדוד | אנחנו פתוחים!,053-9379143,אנחנו פתוחים!,https://www.rest.co.il/rest/80375622/,No delivery link
מול הים,https://images.rest.co.il/Customers/80329688/9a4a5af01b2f4e5e932fbd8f58b0fe85_56.jpg,32 חוות דעת,מסעדת בשרים,עין בוקק | אנחנו פתוחים!,053-7105946,אנחנו פתוחים!,https://www.rest.co.il/rest/80329688/,No delivery link
פיאצה גרנדה,https://images.rest.co.il/Customers/80342256/36bd8f9edf6c42f6b67580fd1386718d_56.jpg,1 חוות דעת,מסעדה איטלקית | כשר,"אלוף קלמן מגן 5, רחוב הארבעה, תל אביב | אנחנו פתוחים!",053-2356812,אנחנו פתוחים!,https://www.rest.co.il/rest/80342256/,No delivery link
BG LOUNGE BAR בי ג'י,https://images.rest.co.il/Customers/80371014/a2ddc9a207e54e469e1fb19068f1fab7_56.jpg,,מסעדת קונספט,"דרך בן גוריון 136, בת ים | תיפתח היום בשעה 19:00",053-6314785,תיפתח היום בשעה 19:00,https://www.rest.co.il/rest/80371014/,No delivery link
300 גרם,https://images.rest.co.il/Customers/80377477/3690e4b60d534902b56806a73b526eb5_56.jpg,629 חוות דעת,"מסעדת בשרים, שף | כשר | מחיר ₪₪₪₪","שדרות האקליפטוס 13, בוסתן הגליל | אנחנו פתוחים!",053-9439547,אנחנו פתוחים!,https://www.rest.co.il/rest/80377477/,No delivery link
בית הפול נווה זאב,https://images.rest.co.il/Customers/80374627/ce5394a039854ab29becbca5de630fcf_56.jpg,,חומוסייה | כשר,"שד' יוהנה ז'בוטינסקי 11, באר שבע | אנחנו פתוחים!",053-9365709,אנחנו פתוחים!,https://www.rest.co.il/rest/80374627/,https://www.mishlohim.co.il/menu/10447/
תשרין Tishreen - נצרת עילית,https://images.rest.co.il/Customers/80182506/a97906e927684748b841f2598aba0f2d_56.jpg,14 חוות דעת,מסעדה ערבית | מחיר ₪₪₪₪,"דרך העמק 41, נצרת עילית (נוף הגליל) | אנחנו פתוחים!",053-9367150,אנחנו פתוחים!,https://www.rest.co.il/rest/80182506/,https://www.mishlohim.co.il/menu/11407/
אליזבת איטלקיה אמיתית,https://images.rest.co.il/Customers/80367077/1880f9a27bf94007840339d7f844c5f7_56.jpg,1 חוות דעת,מסעדה איטלקית | כשר,"התענך 2, אשקלון | אנחנו פתוחים!",053-9415646,אנחנו פתוחים!,https://www.rest.co.il/rest/80367077/,No delivery link
צרפתי דגים מעושנים - SARFATI,https://images.rest.co.il/Customers/80378971/46a526135a4c4d0594088cecc9dbcaf8_56.png,,מסעדת דגים | כשר,שילת | אנחנו פתוחים!,053-9386475,אנחנו פתוחים!,https://www.rest.co.il/rest/80378971/,No delivery link
השף גדסי,https://images.rest.co.il/Customers/80352678/ef22c3be36b3412dbc9f3e1632bc3e7e_56.JPG,,"מסעדת בשרים, שף | כשר",רשות החולה | אנחנו פתוחים!,053-6224881,אנחנו פתוחים!,https://www.rest.co.il/rest/80352678/,No delivery link
iz cafe איז קפה - iz cafe,https://images.rest.co.il/Customers/80208379/e390bc0181214ed299e52d808215d77d_56.jpg,7 חוות דעת,"בתי קפה, שף","השמורה 2, זכרון יעקב | אנחנו פתוחים!",053-9370885,אנחנו פתוחים!,https://www.rest.co.il/rest/80208379/,No delivery link
סמי בכיכר אירועים,https://images.rest.co.il/Customers/80242863/fdfc445e6ccf4618937fb106a38f60f9_56.jpg,,מסעדה מזרחית | כשר | מחיר ₪₪₪₪,"ארבע האגודות 1, מרכז מסחרי שערי חדרה | אנחנו פתוחים!",053-9440579,אנחנו פתוחים!,https://www.rest.co.il/rest/80242863/,No delivery link
צ'אנג בה - Chang Ba,https://images.rest.co.il/Customers/80339268/4d873a516c1048bdbe08158b36fa1766_56.jpg,,מסעדה תאילנדית,"שד' ירושלים 1, קריית ביאליק | אנחנו פתוחים!",053-9347354,אנחנו פתוחים!,https://www.rest.co.il/rest/80339268/,No delivery link
מסעדת ANAND- מסעדה הודית מודרנית,https://images.rest.co.il/Customers/80349303/491e1ce700264ee09173aec35b5f36bb_56.jpg,,"יחזקאל קויפמן 6, תל אביב",No address available,,No opening hours,https://www.rest.co.il/rest/80349303/,No delivery link
אובן קובן - oban koban,https://images.rest.co.il/Customers/80316193/b75d204243ce4345919a9228d9545ac1_56.jpg,35 חוות דעת,מסעדה אסייאתית,"הארבעה 16, תל אביב | אנחנו פתוחים!",053-9365722,אנחנו פתוחים!,https://www.rest.co.il/rest/80316193/,No delivery link
חומוס יוסף,https://images.rest.co.il/Customers/80366869/0137ccc4c6474dc7836a659c8a795dde_56.jpg,1 חוות דעת,חומוסייה,"הברזל 11, רמת החייל, תל אביב | אנחנו פתוחים!",053-9375837,אנחנו פתוחים!,https://www.rest.co.il/rest/80366869/,No delivery link
אגריפס 15 - AGRIPAS 15,https://images.rest.co.il/Customers/80378373/6c80621734ea4858a8c6a5804087951e_56.png,,"מסעדה חלבית, שף | כשר","אגריפס 15, ירושלים | תיפתח היום בשעה 18:30",053-6246592,תיפתח היום בשעה 18:30,https://www.rest.co.il/rest/80378373/,No delivery link
סטולרו - STOLERO,https://images.rest.co.il/Customers/80312507/fb74c494fc794f039d486c550d9731fc_56.jpg,8 חוות דעת,מסעדה ים תיכונית | מחיר ₪₪₪₪,"אליעזר פרי 14, תל אביב | אנחנו פתוחים!",053-9387428,אנחנו פתוחים!,https://www.rest.co.il/rest/80312507/,No delivery link
פצהבלה חצור הגלילית,https://images.rest.co.il/Customers/80364091/36f52fe1aa734de7bca61a39f3bb409a_56.jpg,,פיצריות,חצור הגלילית | אנחנו פתוחים!,053-6112572,אנחנו פתוחים!,https://www.rest.co.il/rest/80364091/,https://www.mishlohim.co.il/menu/13548/
"קאזה דה דונה מריה - בוטקו בר, אורוות האומנים - Casa da Dona Maria - Boteco Bar",https://images.rest.co.il/Customers/80374793/541c6635ea8f44eaaabdf0d13196d0ad_56.jpg,,פאבים וברים,פרדס חנה-כרכור | אנחנו פתוחים!,053-9349207,אנחנו פתוחים!,https://www.rest.co.il/rest/80374793/,No delivery link
בורגרים - Burgerim,https://images.rest.co.il/Customers/80308550/5f4a0f586a3a426ebb5aa145bd7f5e11_56.jpg,1 חוות דעת,מסעדת המבורגרים | כשר | מחיר ₪₪₪₪,"בית אשל 21, באר שבע | אנחנו פתוחים!",053-7106846,אנחנו פתוחים!,https://www.rest.co.il/rest/80308550/,https://www.mishlohim.co.il/menu/6107/
שאלתי אלי,https://images.rest.co.il/Customers/69518590/3598a95b02a4447b86f2543726f3e09c_56.jpg,19 חוות דעת,מסעדת בשרים | כשר | מחיר ₪₪₪₪,"יוחאי בן נון 6, חיפה | אנחנו פתוחים!",053-9441209,אנחנו פתוחים!,https://www.rest.co.il/rest/69518590/,No delivery link
דולפין ים - Sea Dolphin,https://images.rest.co.il/Customers/64277850/05715a1f6a28440bafe1dac8fc886532_56.jpg,77 חוות דעת,מסעדת דגים | מחיר ₪₪₪₪,"בן שטח שמעון 9, ירושלים | אנחנו פתוחים!",053-9443529,אנחנו פתוחים!,https://www.rest.co.il/rest/64277850/,No delivery link
Thai Street Food,https://images.rest.co.il/Customers/80373511/1f1cffaa43904598a96b152bf8a61ece_56.jpg,,מסעדה תאילנדית,"שלום עליכם 14, תל אביב | אנחנו פתוחים!",055-4338066,אנחנו פתוחים!,https://www.rest.co.il/rest/80373511/,No delivery link
מסעדת שטרודל - Shtroudl,https://images.rest.co.il/Customers/80129241/0368e0f8f9614c4cb9fd44109292e3c2_56.jpg,123 חוות דעת,מסעדה ים תיכונית | מחיר ₪₪₪₪,"שד' בן גוריון 39, המושבה הגרמנית, חיפה | אנחנו פתוחים!",053-9344986,אנחנו פתוחים!,https://www.rest.co.il/rest/80129241/,https://www.mishlohim.co.il/menu/10569/
מרקש - Marrakesh,https://images.rest.co.il/Customers/68778310/56b86b282b4d4787abad65e86bd881cc_56.jpg,69 חוות דעת,מסעדה מרוקאית | כשר | מחיר ₪₪₪₪,"דוד המלך 5, נתניה | אנחנו פתוחים!",053-9442774,אנחנו פתוחים!,https://www.rest.co.il/rest/68778310/,No delivery link
לה ברצ'ה - LA BARCE,https://images.rest.co.il/Customers/80375580/b2e0c2f109264bfc8c661003fbf66811_56.jpg,1 חוות דעת,"מסעדת בשרים, שף | כשר","תוצרת הארץ 3, פתח תקווה",055-4319319,No opening hours,https://www.rest.co.il/rest/80375580/,No delivery link
פוטטוס פיצה,https://images.rest.co.il/tagimages/1/1288/70025080/70025020/66283c2b9386482d9361dd4d214e4cf1.jpg,,פיצריות | כשר | מחיר ₪₪₪₪,"קניון מלכת שבא, אילת | אנחנו פתוחים!",053-9368677,אנחנו פתוחים!,https://www.rest.co.il/rest/80136756/,No delivery link
ביף בר - BEEF BAR,https://images.rest.co.il/Customers/80267782/2dfa9950e3b046a09995c5064ce220e9_56.jpg,19 חוות דעת,"מסעדת בשרים, שף | כשר | מחיר ₪₪₪₪","בני גאון 8, נתניה | אנחנו פתוחים!",053-9367552,אנחנו פתוחים!,https://www.rest.co.il/rest/80267782/,No delivery link
ארוי - AROI,https://images.rest.co.il/Customers/80367187/270610bd9d8945718c4ba86900f2ca27_56.jpg,2 חוות דעת,מסעדה תאילנדית | כשר,"שמוטקין 17, ראשון לציון | אנחנו פתוחים!",053-6112729,אנחנו פתוחים!,https://www.rest.co.il/rest/80367187/,No delivery link
נונו הוד השרון - NONO,https://images.rest.co.il/Customers/80199987/40239029ca244408bdf04f43fdc64155_56.jpg,84 חוות דעת,מסעדה איטלקית,"ז'בוטינסקי 2, הוד השרון | אנחנו פתוחים!",,אנחנו פתוחים!,https://www.rest.co.il/rest/80199987/,https://www.mishlohim.co.il/menu/7905/
קוג'י סושי - KOJI -Fish butchery and Sushi,https://images.rest.co.il/Customers/80340025/ece3bcd263134acd99a7c1108a222d00_56.jpg,,"מסעדה יפנית, שף | כשר","החלוצים 32, ראש פינה | אנחנו פתוחים!",053-3951200,אנחנו פתוחים!,https://www.rest.co.il/rest/80340025/,https://www.mishlohim.co.il/menu/12081/
פאפאגאיו - papagaio,https://images.rest.co.il/Customers/80054013/5ab6f0d83ad64ee989e40bab25c29eae_56.jpg,111 חוות דעת,מסעדת בשרים | כשר | מחיר ₪₪₪₪,"יד חרוצים 3, ירושלים | אנחנו פתוחים!",053-9442971,אנחנו פתוחים!,https://www.rest.co.il/rest/80054013/,No delivery link
נטליה - Natalya,https://images.rest.co.il/Customers/80054218/13e1028674af4d3cae3c1468326f93b7_56.jpg,18 חוות דעת,מסעדה רוסית,"המייסדים 1, נתניה | תיפתח היום בשעה 20:00",053-9443363,תיפתח היום בשעה 20:00,https://www.rest.co.il/rest/80054218/,No delivery link
המשכן,https://images.rest.co.il/Customers/80358813/dc5b6741878d404493ba1d5f124d9fc9_56.jpg,,מסעדת בשרים | כשר,"ספיר פנחס 7, פארק המדע נס ציונה",053-9442760,No opening hours,https://www.rest.co.il/rest/80358813/,No delivery link
פראטלי - Fratelli,https://images.rest.co.il/Customers/80314091/b4e82a48efe548019f686d088fd10276_56.jpg,15 חוות דעת,מסעדה איטלקית | מחיר ₪₪₪₪,"גיבורי ישראל 17, יכין סנטר נתניה, נתניה | אנחנו פתוחים!",053-5236966,אנחנו פתוחים!,https://www.rest.co.il/rest/80314091/,No delivery link
קפה גרג נוף הגליל - Greg Coffee,https://images.rest.co.il/Customers/80364473/6947ec4934674c5ca03076ea63799c52_56.jpg,,בתי קפה,"דרך החטיבות 2, נצרת עילית (נוף הגליל) | אנחנו פתוחים!",053-9443059,אנחנו פתוחים!,https://www.rest.co.il/rest/80364473/,No delivery link
קמפניה,https://images.rest.co.il/Customers/80262780/4f1c1692cd894977b73a7b17d3320130_56.jpg,60 חוות דעת,מסעדת בשרים | כשר,"ברשבסקי 8, ראשון לציון | אנחנו פתוחים!",053-9377056,אנחנו פתוחים!,https://www.rest.co.il/rest/80262780/,No delivery link
סרפינה - serafina,https://images.rest.co.il/Customers/80320592/4fc3f5ac34cf490c8fefa9f3f1882154_56.jpg,15 חוות דעת,מסעדה איטלקית,"איינשטיין 10, צפון תל אביב | תיפתח היום בשעה 18:00",053-6113054,תיפתח היום בשעה 18:00,https://www.rest.co.il/rest/80320592/,No delivery link
בית הפול הירוק,https://images.rest.co.il/Customers/80318714/fd82192665354b0bb34aa11feb896830_56.jpg,,חומוסייה | כשר,"שד' הרצל, דימונה | אנחנו פתוחים!",053-9348746,אנחנו פתוחים!,https://www.rest.co.il/rest/80318714/,https://www.mishlohim.co.il/menu/14045/
קיטו בראון,https://images.rest.co.il/Customers/80374223/554bbba9ee26430e9fb4ffd7cfe58f49_56.gif,1 חוות דעת,בתי קפה,עפולה | אנחנו פתוחים!,053-9386634,אנחנו פתוחים!,https://www.rest.co.il/rest/80374223/,No delivery link
בני הדייג תל אביב,https://images.rest.co.il/Customers/80222045/18a86829ba2b44f8b6e755754d767064_56.jpg,No reviews,מסעדת דגים | מחיר ₪₪₪₪,"יורדי הסירה 1, נמל תל-אביב | אנחנו פתוחים!",053-9444154,אנחנו פתוחים!,https://www.rest.co.il/rest/80222045/,No delivery link
ניין ביץ' 9beach - 9beach,https://images.rest.co.il/Customers/80353141/0a1593d48936404e8e096d168c881122_56.jpg,,"מסעדת קונספט, שף","דרך פעמי השלום, אילת | אנחנו פתוחים!",053-6130229,אנחנו פתוחים!,https://www.rest.co.il/rest/80353141/,No delivery link
קנסאי יגאל אלון,https://images.rest.co.il/Customers/80348625/c2898bb3546344aebccb7d800ce7c0eb_56.jpeg,,מסעדה אסייאתית | כשר | מחיר ₪₪₪₪,"יגאל אלון 94, תל אביב | אנחנו פתוחים!",053-8007728,אנחנו פתוחים!,https://www.rest.co.il/rest/80348625/,No delivery link
לבנט - Levant Restaurant & Cafe,https://images.rest.co.il/Customers/80341185/7c072d13e1af42b4bf828634553619e0_56.jpg,19 חוות דעת,מסעדת בשרים,בוקעאתא | אנחנו פתוחים!,053-6262189,אנחנו פתוחים!,https://www.rest.co.il/rest/80341185/,No delivery link
סימה - SIMA,https://images.rest.co.il/Customers/23994000/fa8b23397ec341babe3f443563541c3c_56.jpg,14 חוות דעת,מסעדת בשרים | כשר,"אגריפס 82, מחנה יהודה, ירושלים | אנחנו פתוחים!",053-8094259,אנחנו פתוחים!,https://www.rest.co.il/rest/23994000/,No delivery link
פלורנטינה,https://images.rest.co.il/Customers/80355229/e44bbbfd8f104f2ca40709c33092176a_56.jpg,70 חוות דעת,מסעדה איטלקית | כשר | מחיר ₪₪₪₪,"אברבנאל 56, פלורנטין, תל אביב | אנחנו פתוחים!",03-6050061,אנחנו פתוחים!,https://www.rest.co.il/rest/80355229/,No delivery link
Sunset BLVD kitchen bar סנסט,https://images.rest.co.il/Customers/80296269/e4861398fa024fee9d54194dfacc1f4f_56.jpg,No reviews,מסעדת בשרים | מחיר ₪₪₪₪,"מרטין בובר 1, אשדוד | אנחנו פתוחים!",053-9379400,אנחנו פתוחים!,https://www.rest.co.il/rest/80296269/,No delivery link
פלייגראונד - PLAYGROUND,https://images.rest.co.il/Customers/80358682/913a2e2630774a469b1c89cf00eccc24_56.jpg,,"דרך מנחם בגין 144, תל אביב | אנחנו פתוחים!",No address available,053-4748197,אנחנו פתוחים!,https://www.rest.co.il/rest/80358682/,No delivery link
פנטסיה,https://images.rest.co.il/Customers/80352746/5fb88c0791c148f7b045052cffcd9038_56.jpg,1 חוות דעת,מסעדה איטלקית,"המאה ועשרים 4, ראשון לציון | אנחנו פתוחים!",053-8096622,אנחנו פתוחים!,https://www.rest.co.il/rest/80352746/,No delivery link
מפגש ובשר - MEET&MEAT,https://images.rest.co.il/Customers/80296904/991e5f98c67e4649b9b55f434ab6cdae_56.jpg,20 חוות דעת,מסעדת בשרים | כשר,"השדרה המרכזית 15, מודיעין והסביבה | אנחנו פתוחים!",053-9415771,אנחנו פתוחים!,https://www.rest.co.il/rest/80296904/,No delivery link
איל נאפולי - IL NAPOLI,https://images.rest.co.il/Customers/80374549/bdd677eb1bf14cdfabec8936119ddb74_56.png,,מסעדה איטלקית | כשר,"שבט לוי 14, אשדוד | אנחנו פתוחים!",055-4339812,אנחנו פתוחים!,https://www.rest.co.il/rest/80374549/,https://www.mishlohim.co.il/menu/14140/
ספורה בר תל אביב,https://images.rest.co.il/Customers/80311905/5f5b4b1fa93647b89e39b4d668a2aaa4_56.jpg,3 חוות דעת,פאבים וברים | כשר,"דרך מנחם בגין 132, תל אביב | אנחנו פתוחים!",053-9347426,אנחנו פתוחים!,https://www.rest.co.il/rest/80311905/,No delivery link
טוקופיה - TOKOPAYA,https://images.rest.co.il/Customers/41535160/f620b1310db94c14a1f77c49d2743ba0_56.gif,296 חוות דעת,"מסעדת בשרים, שף | כשר | מחיר ₪₪₪₪","המזמרה 11, נס ציונה | אנחנו פתוחים!",053-9415906,אנחנו פתוחים!,https://www.rest.co.il/rest/41535160/,No delivery link
גריל בר - Grill Bar,https://images.rest.co.il/Customers/80375957/f4fab46b140e46d58e6b7a2e813a3489_56.jpg,,מסעדת בשרים,"הסורג 1, ירושלים | אנחנו פתוחים!",053-9443477,אנחנו פתוחים!,https://www.rest.co.il/rest/80375957/,No delivery link
בית הפול הירוק,https://images.rest.co.il/Customers/80368894/a94e019fb142470d925a785dc08de581_56.jpg,,חומוסייה,ערד | אנחנו פתוחים!,053-7428067,אנחנו פתוחים!,https://www.rest.co.il/rest/80368894/,No delivery link
ביגה - BiGA,https://images.rest.co.il/Customers/80173361/15bce6344d364f549f4ec8a9f8e0d028_56.jpg,12 חוות דעת,בתי קפה | כשר,"אלונים 85, קריית טבעון | אנחנו פתוחים!",053-7931782,אנחנו פתוחים!,https://www.rest.co.il/rest/80173361/,No delivery link
מועדון ארוחת בוקר-מועדון ארוחת ערב,https://images.rest.co.il/Customers/80138870/e3912f26efba4188a8e2bf938dd43f4b_56.JPG,11 חוות דעת,בתי קפה | מחיר ₪₪₪₪,"הסירה 1, שבי ציון | תיפתח מחר ב-09:00",053-9385668,תיפתח מחר ב-09:00,https://www.rest.co.il/rest/80138870/,No delivery link
לה מיאל,https://images.rest.co.il/Customers/80371210/d65688b5d1fa444bb55fa1400425b13e_56.png,,"מסעדה צרפתית, שף | כשר","יד חרוצים 14, תל אביב | תיפתח היום בשעה 19:30",053-6605133,תיפתח היום בשעה 19:30,https://www.rest.co.il/rest/80371210/,No delivery link
רפי בצומת,https://images.rest.co.il/Customers/80031535/af00908ec0964c5f8b484c241c9742e1_56.jpg,16 חוות דעת,מסעדת בשרים | כשר | מחיר ₪₪₪₪,"קומבה 29, חדרה | אנחנו פתוחים!",053-7102669,אנחנו פתוחים!,https://www.rest.co.il/rest/80031535/,No delivery link
מסעדת אונו - uno,https://images.rest.co.il/Customers/80375640/488290bfab2d4e82892139d91dba743f_56.jpg,233 חוות דעת,"מסעדה איטלקית, שף | כשר","ויצמן 2, תל אביב | אנחנו פתוחים!",053-9443877,אנחנו פתוחים!,https://www.rest.co.il/rest/80375640/,No delivery link
רשטא,https://images.rest.co.il/Customers/80269491/d79e681a968b4faab0244d1196c34733_56.jpg,No reviews,"מסעדת בשרים, שף",ירושלים | אנחנו פתוחים!,053-9376591,אנחנו פתוחים!,https://www.rest.co.il/rest/80269491/,No delivery link
שיפודודו על המנגל,https://images.rest.co.il/tagimages/1/2/70025020/1/871dd1383bd34defa1c6984d2e50c435.jpg,3 חוות דעת,"האבות 12, טבריה עילית",No address available,053-8095990,No opening hours,https://www.rest.co.il/rest/80134262/,No delivery link
מקס ברנר - MAX BRENNER,https://images.rest.co.il/Customers/80215919/63e4ecf5accf4667b0c78b9b60712129_56.jpg,25 חוות דעת,בתי קפה,"אלוף קלמן מגן 3, מתחם שרונה, תל אביב | אנחנו פתוחים!",053-9379487,אנחנו פתוחים!,https://www.rest.co.il/rest/80215919/,No delivery link
באלינג'רה,https://images.rest.co.il/Customers/80227033/85cbc4753be14a83a0d9838509708065_56.jpg,10 חוות דעת,מסעדה אתיופית,"מל""ן 4, תל אביב | אנחנו פתוחים!",053-9383941,אנחנו פתוחים!,https://www.rest.co.il/rest/80227033/,No delivery link
גוג'ו - מאכלים אתיופים - GOJO,https://images.rest.co.il/Customers/80339006/27b29888220b4c0794f3ec3aa3c73635_56.jpg,34 חוות דעת,מסעדה אתיופית | כשר | מחיר ₪₪₪₪,"טלר 32, רחובות | אנחנו פתוחים!",053-7933517,אנחנו פתוחים!,https://www.rest.co.il/rest/80339006/,https://www.mishlohim.co.il/menu/7702/
המחבוא של אדי - Eddie's hide a way,https://images.rest.co.il/Customers/80274774/3b5b176201d24d1889cb59219417345f_56.jpg,169 חוות דעת,"מסעדת בשרים, שף | מחיר ₪₪₪₪","המסגר 2, אילת | תיפתח היום בשעה 18:00",053-4293615,תיפתח היום בשעה 18:00,https://www.rest.co.il/rest/80274774/,No delivery link
אמילי- גריל בר בשרים,https://images.rest.co.il/Customers/80354475/0f2eb439508641bbaae790b9dd946184_56.jpg,8 חוות דעת,מסעדת בשרים | כשר,"יניב לינקר 12, ראשון לציון | אנחנו פתוחים!",053-6221646,אנחנו פתוחים!,https://www.rest.co.il/rest/80354475/,No delivery link
סאמא - SAMA,https://images.rest.co.il/Customers/80330765/f6ae7e1ac82b4181b68ae78b6d17a8af_56.jpg,8 חוות דעת,מסעדת קונספט,"סלאח א דין 14, עכו העתיקה | תיפתח היום בשעה 18:00",053-7106544,תיפתח היום בשעה 18:00,https://www.rest.co.il/rest/80330765/,No delivery link
פפינו - PEPPINO,https://images.rest.co.il/Customers/80341218/64922878a9ab43c487afd445ddc71269_56.png,,מסעדה איטלקית,"שד' הרכס 13, מודיעין והסביבה",053-9425543,No opening hours,https://www.rest.co.il/rest/80341218/,No delivery link
the view,https://images.rest.co.il/Customers/80365907/affa0adb70414510b36fd6260b94f03f_56.jpg,3 חוות דעת,"מסעדת בשרים, שף | כשר",נתניה | תיפתח היום בשעה 18:00,053-6112711,תיפתח היום בשעה 18:00,https://www.rest.co.il/rest/80365907/,No delivery link
מלך החומוס והשווארמה,https://images.rest.co.il/Customers/80376999/ef987b2080e4462aac42744a62474b7f_56.jpg,,מסעדה מזרחית,יפיע | אנחנו פתוחים!,053-80349306,אנחנו פתוחים!,https://www.rest.co.il/rest/80376999/,No delivery link
מלך הסנדוויץ הטוניסאי,https://images.rest.co.il/Customers/80364055/db7310655157422c8ed1e4b31c059e45_56.png,,סנדוויץ' בר,"המצודה 6, אזור | אנחנו פתוחים!",053-3203783,אנחנו פתוחים!,https://www.rest.co.il/rest/80364055/,No delivery link
טיקה מסלה - Tikka masala,https://images.rest.co.il/Customers/80366748/bbf753d655f84086a62fdec3ecac05ff_56.jpg,,מסעדה הודית,"האורגים 2, אילת | אנחנו פתוחים!",053-9381375,אנחנו פתוחים!,https://www.rest.co.il/rest/80366748/,https://www.mishlohim.co.il/menu/11148/
שלושת הקצבים,https://images.rest.co.il/Customers/80215368/1d518821c4ed4fb9bc4cf85b56ef687f_56.gif,20 חוות דעת,מסעדת בשרים | כשר | מחיר ₪₪₪₪,"ברקת ראובן 16, נתניה | אנחנו פתוחים!",053-9377038,אנחנו פתוחים!,https://www.rest.co.il/rest/80215368/,No delivery link
פונדק אסא,https://images.rest.co.il/Customers/80348879/627846c6807d4db3aec0cc8d86a6200b_56.JPG,1 חוות דעת,מסעדת בשרים,בית דגן | אנחנו פתוחים!,053-5300130,אנחנו פתוחים!,https://www.rest.co.il/rest/80348879/,No delivery link
הלנה,https://images.rest.co.il/Customers/74900890/6b5885f2ecd44b1683469cacb738d489_56.jpg,No reviews,מסעדת דגים | מחיר ₪₪₪₪,קיסריה | אנחנו פתוחים!,053-9443013,אנחנו פתוחים!,https://www.rest.co.il/rest/74900890/,No delivery link
קסר - KESAR,https://images.rest.co.il/Customers/80352944/a6b61db155524bc3aacab888ca427377_56.jpg,,"סירקין 11, חיפה | אנחנו פתוחים!",No address available,053-9417472,אנחנו פתוחים!,https://www.rest.co.il/rest/80352944/,No delivery link
מסעדת STUDIO GURSHA – מטבח אתיופי עדכני,https://images.rest.co.il/Customers/80349309/346e7f958c0b43999ea0d0c5a4fa4b9e_56.jpg,,"יחזקאל קויפמן 6, תל אביב | אנחנו פתוחים!",No address available,,אנחנו פתוחים!,https://www.rest.co.il/rest/80349309/,No delivery link
שיפודי הכרם,https://images.rest.co.il/Customers/80343681/193d8e14d4e641fd971bc2f25c4f8b9b_56.jpg,3 חוות דעת,מסעדת בשרים | כשר,"נחליאל 28, שוק הכרמל, תל אביב | אנחנו פתוחים!",053-4905121,אנחנו פתוחים!,https://www.rest.co.il/rest/80343681/,No delivery link
אנטריקוטי,https://images.rest.co.il/Customers/15717510/55484fd1321c48bcb22f6ce8eeb4f9af_56.jpg,82 חוות דעת,מסעדת בשרים | כשר | מחיר ₪₪₪₪,"גורדון 28, פתח תקווה | שעות פעילות",053-9441332,שעות פעילות,https://www.rest.co.il/rest/15717510/,https://www.mishlohim.co.il/menu/4811/
אושפלאו - OSHPALAO,https://images.rest.co.il/Customers/80358766/c1463407db7a445e8f697fdd50f1b4fe_56.jpg,1 חוות דעת,כשר,"דרך ששת הימים 4, פרדס כץ, בני ברק | אנחנו פתוחים!",053-3992862,אנחנו פתוחים!,https://www.rest.co.il/rest/80358766/,No delivery link
בורגר סאלון רוממה חיפה - Burger Saloon,https://images.rest.co.il/Customers/80142692/d5faca4763c246f8ad2509a9462902b2_56.jpg,16 חוות דעת,מסעדת המבורגרים,"דרך פיק""א 69, חיפה | אנחנו פתוחים!",053-8094249,אנחנו פתוחים!,https://www.rest.co.il/rest/80142692/,https://www.mishlohim.co.il/menu/6877/
בית הפול הירוק ביג באר שבע,https://images.rest.co.il/Customers/80374379/52f056a9c70d4bcb807c5020ecd05273_56.jpg,,חומוסייה,"דרך חברון 66, באר שבע | אנחנו פתוחים!",053-6231365,אנחנו פתוחים!,https://www.rest.co.il/rest/80374379/,https://www.mishlohim.co.il/menu/14038/
בורגר מרקט,https://images.rest.co.il/Customers/80329353/5004d3d0dbfd4a669fded7f50d974dfc_56.jpg,,מסעדת בשרים | כשר | מחיר ₪₪₪₪,"בן שטח שמעון 3, ירושלים | אנחנו פתוחים!",*4917,אנחנו פתוחים!,https://www.rest.co.il/rest/80329353/,No delivery link
המסעדה של אבי,https://images.rest.co.il/Customers/80367747/3cd13b2f467a4564a6847c725bf510c2_56.png,90 חוות דעת,מסעדת בשרים | כשר | מחיר ₪₪₪₪,"הקישון 1, טבריה | אנחנו פתוחים!",053-9440822,אנחנו פתוחים!,https://www.rest.co.il/rest/80367747/,No delivery link
